# CSV generated from:L
# https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-04647-1/MediaObjects/41467_2018_4647_MOESM4_ESM.xlsx
# Supplementary Data 1. Experimentally identified gold standard SL interactions,,,,,,
# ,,,,,,
gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer type tested,SL
MUS81,TTC31,mut,shRNA,24104479,COAD,0
MUS81,ESPL1,mut,shRNA,24104479,COAD,1
MUS81,ST6GALNAC3,mut,shRNA,24104479,COAD,0
MUS81,MTMR6,mut,shRNA,24104479,COAD,0
MUS81,OVCH1,mut,shRNA,24104479,COAD,0
MUS81,SFRS12,mut,shRNA,24104479,COAD,0
MUS81,TRAF6,mut,shRNA,24104479,COAD,1
MUS81,LRRC55,mut,shRNA,24104479,COAD,0
MUS81,SLC35A2,mut,shRNA,24104479,COAD,0
MUS81,TRIP6,mut,shRNA,24104479,COAD,1
MUS81,ADAM7,mut,shRNA,24104479,COAD,0
MUS81,CLEC4C,mut,shRNA,24104479,COAD,0
MUS81,CCDC21,mut,shRNA,24104479,COAD,0
MUS81,LUC7L3,mut,shRNA,24104479,COAD,0
MUS81,RAB4B,mut,shRNA,24104479,COAD,0
MUS81,PIGN,mut,shRNA,24104479,COAD,0
MUS81,PPM1M,mut,shRNA,24104479,COAD,0
MUS81,PLEKHH1,mut,shRNA,24104479,COAD,1
MUS81,ARL5B,mut,shRNA,24104479,COAD,0
MUS81,REG3G,mut,shRNA,24104479,COAD,0
MUS81,CREBBP,mut,shRNA,24104479,COAD,1
MUS81,PBX3,mut,shRNA,24104479,COAD,0
MUS81,CHAF1A,mut,shRNA,24104479,COAD,1
MUS81,HS3ST4,mut,shRNA,24104479,COAD,0
MUS81,PLSCR4,mut,shRNA,24104479,COAD,0
MUS81,UBE2Q2P1,mut,shRNA,24104479,COAD,0
MUS81,IFIH1,mut,shRNA,24104479,COAD,0
MUS81,ZNF142,mut,shRNA,24104479,COAD,1
MUS81,SHC4,mut,shRNA,24104479,COAD,0
MUS81,EDN1,mut,shRNA,24104479,COAD,0
MUS81,IL13,mut,shRNA,24104479,COAD,0
MUS81,GPR162,mut,shRNA,24104479,COAD,0
MUS81,TMEM33,mut,shRNA,24104479,COAD,0
MUS81,AKIRIN1,mut,shRNA,24104479,COAD,0
MUS81,ANKMY1,mut,shRNA,24104479,COAD,0
MUS81,CER1,mut,shRNA,24104479,COAD,0
MUS81,ACTR5,mut,shRNA,24104479,COAD,0
MUS81,OR51V1,mut,shRNA,24104479,COAD,0
MUS81,MARK2,mut,shRNA,24104479,COAD,0
MUS81,LRRC25,mut,shRNA,24104479,COAD,0
MUS81,INS,mut,shRNA,24104479,COAD,0
MUS81,TCF20,mut,shRNA,24104479,COAD,1
MUS81,STK3,mut,shRNA,24104479,COAD,0
MUS81,UBAP2L,mut,shRNA,24104479,COAD,1
MUS81,DYRK2,mut,shRNA,24104479,COAD,0
MUS81,ARF5,mut,shRNA,24104479,COAD,0
MUS81,PCDHGB2,mut,shRNA,24104479,COAD,0
MUS81,KIAA0101,mut,shRNA,24104479,COAD,0
MUS81,ADAT2,mut,shRNA,24104479,COAD,0
MUS81,F7,mut,shRNA,24104479,COAD,0
MUS81,CXCL12,mut,shRNA,24104479,COAD,0
MUS81,TFR2,mut,shRNA,24104479,COAD,0
MUS81,KIAA0319L,mut,shRNA,24104479,COAD,0
MUS81,OR2H1,mut,shRNA,24104479,COAD,0
MUS81,ACP1,mut,shRNA,24104479,COAD,0
MUS81,UBB,mut,shRNA,24104479,COAD,0
MUS81,CAMK1G,mut,shRNA,24104479,COAD,0
MUS81,TRPC4AP,mut,shRNA,24104479,COAD,0
MUS81,CNPY4,mut,shRNA,24104479,COAD,0
MUS81,FUT9,mut,shRNA,24104479,COAD,0
MUS81,OXTR,mut,shRNA,24104479,COAD,0
MUS81,IBTK,mut,shRNA,24104479,COAD,0
MUS81,ENSA,mut,shRNA,24104479,COAD,0
MUS81,LILRA3,mut,shRNA,24104479,COAD,0
MUS81,RAB3GAP2,mut,shRNA,24104479,COAD,0
MUS81,CYP27C1,mut,shRNA,24104479,COAD,0
MUS81,CIDEC,mut,shRNA,24104479,COAD,0
MUS81,EPX,mut,shRNA,24104479,COAD,0
MUS81,TRIM15,mut,shRNA,24104479,COAD,1
MUS81,PTRH1,mut,shRNA,24104479,COAD,0
MUS81,PALMD,mut,shRNA,24104479,COAD,0
MUS81,WASH2P,mut,shRNA,24104479,COAD,1
MUS81,GIT2,mut,shRNA,24104479,COAD,1
MUS81,HLX,mut,shRNA,24104479,COAD,0
MUS81,NUDT4,mut,shRNA,24104479,COAD,1
MUS81,PLEK2,mut,shRNA,24104479,COAD,1
MUS81,TSPAN33,mut,shRNA,24104479,COAD,0
MUS81,UBE2Q1,mut,shRNA,24104479,COAD,0
MUS81,STIL,mut,shRNA,24104479,COAD,1
MUS81,CD3EAP,mut,shRNA,24104479,COAD,0
MUS81,GCLC,mut,shRNA,24104479,COAD,0
MUS81,TBRG4,mut,shRNA,24104479,COAD,0
MUS81,MTCP1,mut,shRNA,24104479,COAD,0
MUS81,DCAKD,mut,shRNA,24104479,COAD,0
MUS81,PTPLAD1,mut,shRNA,24104479,COAD,1
MUS81,CDC37L1,mut,shRNA,24104479,COAD,0
MUS81,POLR3K,mut,shRNA,24104479,COAD,1
MUS81,B2M,mut,shRNA,24104479,COAD,0
MUS81,SNX22,mut,shRNA,24104479,COAD,0
MUS81,MAP6,mut,shRNA,24104479,COAD,0
MUS81,GPR52,mut,shRNA,24104479,COAD,0
MUS81,METTL2A,mut,shRNA,24104479,COAD,1
MUS81,FXYD1,mut,shRNA,24104479,COAD,1
MUS81,ICK,mut,shRNA,24104479,COAD,0
MUS81,STEAP3,mut,shRNA,24104479,COAD,0
MUS81,CCNI,mut,shRNA,24104479,COAD,0
MUS81,BHLHE22,mut,shRNA,24104479,COAD,0
MUS81,IGLL1,mut,shRNA,24104479,COAD,0
MUS81,DCLRE1A,mut,shRNA,24104479,COAD,0
MUS81,F2RL2,mut,shRNA,24104479,COAD,0
MUS81,CENPC1,mut,shRNA,24104479,COAD,0
MUS81,APOOL,mut,shRNA,24104479,COAD,0
MUS81,FAM71D,mut,shRNA,24104479,COAD,0
MUS81,FBXO39,mut,shRNA,24104479,COAD,0
MUS81,PDK2,mut,shRNA,24104479,COAD,0
MUS81,KLF6,mut,shRNA,24104479,COAD,1
MUS81,AXL,mut,shRNA,24104479,COAD,0
MUS81,TBR1,mut,shRNA,24104479,COAD,0
MUS81,SERPINA12,mut,shRNA,24104479,COAD,0
MUS81,BRAF,mut,shRNA,24104479,COAD,1
MUS81,TMC8,mut,shRNA,24104479,COAD,1
MUS81,SH2D1A,mut,shRNA,24104479,COAD,0
MUS81,SPAG11B,mut,shRNA,24104479,COAD,0
MUS81,UBASH3B,mut,shRNA,24104479,COAD,0
MUS81,PVALB,mut,shRNA,24104479,COAD,0
MUS81,CDK2,mut,shRNA,24104479,COAD,0
MUS81,WISP1,mut,shRNA,24104479,COAD,0
MUS81,FZD4,mut,shRNA,24104479,COAD,0
MUS81,TAS2R3,mut,shRNA,24104479,COAD,0
MUS81,ZNF358,mut,shRNA,24104479,COAD,1
MUS81,UBE2E3,mut,shRNA,24104479,COAD,0
