A1BG,NCBI:1
A2M,NCBI:2
A2MP1,NCBI:3
NAT1,NCBI:9
NAT2,NCBI:10
NATP,NCBI:11
SERPINA3,NCBI:12
AADAC,NCBI:13
AAMP,NCBI:14
AANAT,NCBI:15
AARS1,NCBI:16
AAVS1,NCBI:17
ABAT,NCBI:18
ABCA1,NCBI:19
ABCA2,NCBI:20
ABCA3,NCBI:21
ABCB7,NCBI:22
ABCF1,NCBI:23
ABCA4,NCBI:24
ABL1,NCBI:25
AOC1,NCBI:26
ABL2,NCBI:27
ABO,NCBI:28
ABR,NCBI:29
ACAA1,NCBI:30
ACACA,NCBI:31
ACACB,NCBI:32
ACADL,NCBI:33
ACADM,NCBI:34
ACADS,NCBI:35
ACADSB,NCBI:36
ACADVL,NCBI:37
ACAT1,NCBI:38
ACAT2,NCBI:39
ASIC2,NCBI:40
ASIC1,NCBI:41
ACHE,NCBI:43
ACLS,NCBI:46
ACLY,NCBI:47
ACO1,NCBI:48
ACR,NCBI:49
ACO2,NCBI:50
ACOX1,NCBI:51
ACP1,NCBI:52
ACP2,NCBI:53
ACP5,NCBI:54
ACP3,NCBI:55
ACRV1,NCBI:56
ACTA1,NCBI:58
ACTA2,NCBI:59
ACTB,NCBI:60
ACTBP2,NCBI:62
ACTBP3,NCBI:63
ACTBP4,NCBI:64
ACTBP6,NCBI:66
ACTBP7,NCBI:67
ACTBP8,NCBI:68
ACTBP9,NCBI:69
ACTC1,NCBI:70
ACTG1,NCBI:71
ACTG2,NCBI:72
ACTG1P1,NCBI:73
ACTG1P2,NCBI:74
ACTG1P3,NCBI:75
ACTG1P6,NCBI:78
ACTG1P7,NCBI:79
ACTG1P8,NCBI:80
ACTN4,NCBI:81
ACTG1P9,NCBI:82
ACTG1P10,NCBI:83
ACTL6A,NCBI:86
ACTN1,NCBI:87
ACTN2,NCBI:88
ACTN3,NCBI:89
ACVR1,NCBI:90
ACVR1B,NCBI:91
ACVR2A,NCBI:92
ACVR2B,NCBI:93
ACVRL1,NCBI:94
ACY1,NCBI:95
ACYP1,NCBI:97
ACYP2,NCBI:98
ADA,NCBI:100
ADAM8,NCBI:101
ADAM10,NCBI:102
ADAR,NCBI:103
ADARB1,NCBI:104
ADARB2,NCBI:105
ADCP1,NCBI:106
ADCY1,NCBI:107
ADCY2,NCBI:108
ADCY3,NCBI:109
ADCY5,NCBI:111
ADCY6,NCBI:112
ADCY7,NCBI:113
ADCY8,NCBI:114
ADCY9,NCBI:115
ADCYAP1,NCBI:116
ADCYAP1R1,NCBI:117
ADD1,NCBI:118
ADD2,NCBI:119
ADD3,NCBI:120
ADFN,NCBI:122
PLIN2,NCBI:123
ADH1A,NCBI:124
ADH1B,NCBI:125
ADH1C,NCBI:126
ADH4,NCBI:127
ADH5,NCBI:128
ADH6,NCBI:130
ADH7,NCBI:131
ADK,NCBI:132
ADM,NCBI:133
ADORA1,NCBI:134
ADORA2A,NCBI:135
ADORA2B,NCBI:136
ADORA2BP1,NCBI:137
ADORA3,NCBI:140
ADPRH,NCBI:141
PARP1,NCBI:142
PARP4,NCBI:143
PARP1P1,NCBI:144
PARP1P2,NCBI:145
ADRA1D,NCBI:146
ADRA1B,NCBI:147
ADRA1A,NCBI:148
ADRA2A,NCBI:150
ADRA2B,NCBI:151
ADRA2C,NCBI:152
ADRB1,NCBI:153
ADRB2,NCBI:154
ADRB3,NCBI:155
GRK2,NCBI:156
GRK3,NCBI:157
ADSL,NCBI:158
ADSS2,NCBI:159
AP2A1,NCBI:160
AP2A2,NCBI:161
AP1B1,NCBI:162
AP2B1,NCBI:163
AP1G1,NCBI:164
AEBP1,NCBI:165
TLE5,NCBI:166
CRISP1,NCBI:167
AF8T,NCBI:169
AFA,NCBI:170
AFD1,NCBI:171
AFG3L1P,NCBI:172
AFM,NCBI:173
AFP,NCBI:174
AGA,NCBI:175
ACAN,NCBI:176
AGER,NCBI:177
AGL,NCBI:178
AGMX2,NCBI:179
AGRP,NCBI:181
JAG1,NCBI:182
AGT,NCBI:183
AGTR1,NCBI:185
AGTR2,NCBI:186
APLNR,NCBI:187
AGXT,NCBI:189
NR0B1,NCBI:190
AHCY,NCBI:191
AIC,NCBI:192
AHR,NCBI:196
AHSG,NCBI:197
AIF1,NCBI:199
AIH3,NCBI:201
CRYBG1,NCBI:202
AK1,NCBI:203
AK2,NCBI:204
AK4,NCBI:205
AK4P1,NCBI:206
AKT1,NCBI:207
AKT2,NCBI:208
ALAD,NCBI:210
ALAS1,NCBI:211
ALAS2,NCBI:212
ALB,NCBI:213
ALCAM,NCBI:214
ABCD1,NCBI:215
ALDH1A1,NCBI:216
ALDH2,NCBI:217
ALDH3A1,NCBI:218
ALDH1B1,NCBI:219
ALDH1A3,NCBI:220
ALDH3B1,NCBI:221
ALDH3B2,NCBI:222
ALDH9A1,NCBI:223
ALDH3A2,NCBI:224
ABCD2,NCBI:225
ALDOA,NCBI:226
ALDOAP2,NCBI:228
ALDOB,NCBI:229
ALDOC,NCBI:230
AKR1B1,NCBI:231
AKR1B1P2,NCBI:236
ALK,NCBI:238
ALOX12,NCBI:239
ALOX5,NCBI:240
ALOX5AP,NCBI:241
ALOX12B,NCBI:242
ALOX12P1,NCBI:243
ALOX12P2,NCBI:245
ALOX15,NCBI:246
ALOX15B,NCBI:247
ALPI,NCBI:248
ALPL,NCBI:249
ALPP,NCBI:250
ALPG,NCBI:251
ALS3,NCBI:253
ALX3,NCBI:257
AMBN,NCBI:258
AMBP,NCBI:259
AMCN,NCBI:261
AMD1,NCBI:262
AMD1P2,NCBI:263
AMELX,NCBI:265
AMELY,NCBI:266
AMFR,NCBI:267
AMH,NCBI:268
